,Current Qtr.,Next Qtr.,Current Year,Next Year,Next 5 Years (per annum),Past 5 Years (per annum)
RAMP,140.00%,200.00%,138.20%,52.40%,21.50%,-7.00%
RNG,26.30%,12.50%,25.50%,27.60%,15.57%,147.82%
RP,14.00%,10.20%,11.90%,17.50%,24.11%,39.54%
SAIC,-8.20%,22.50%,7.60%,18.20%,12.20%,13.71%
SAIL,-100.00%,-100.00%,-107.30%,300.00%,15.00%,
SCWX,-200.00%,-180.00%,-227.30%,28.60%,70.30%,
SE,-9.60%,22.10%,17.60%,7.90%,,
SMSI,-90.00%,-57.10%,-16.70%,50.00%,10.75%,19.18%
SNCR,-333.30%,-156.20%,-900.00%,-50.00%,10.00%,-16.04%
SNPS,26.20%,-6.90%,13.20%,14.50%,11.50%,11.81%
SOFO,,,,,25.00%,
SPLK,-26.80%,-21.20%,-32.70%,137.00%,4.00%,58.44%
SPRT,,,,,10.00%,
SQ,900.00%,55.60%,46.40%,52.80%,54.22%,
SSNC,6.80%,6.70%,5.60%,5.90%,2.96%,28.09%
SSNT,,,,,,
STMP,28.00%,-39.90%,-39.20%,23.90%,15.00%,30.72%
STRM,-50.00%,-100.00%,-142.90%,-11.80%,15.00%,7.97%
SWI,-5.00%,-16.00%,-10.10%,16.90%,9.10%,
SYNA,26.80%,32.30%,27.70%,9.60%,10.00%,-8.98%
TENB,166.70%,50.00%,57.90%,46.70%,9.80%,
TRHC,"-1,000.00%",-128.60%,,186.70%,33.00%,77.91%
TSRI,,,,,,-29.25%
TTD,-14.40%,17.40%,-18.50%,26.70%,27.00%,54.16%
TTWO,-56.00%,-61.70%,15.20%,0.80%,17.21%,10.66%
TWLO,-266.70%,-155.60%,-156.50%,330.80%,20.50%,
TWOU,30.30%,38.20%,58.80%,100.00%,25.00%,
TYL,7.20%,2.90%,5.30%,12.40%,10.00%,20.30%
UIS,"3,900.00%",286.70%,43.70%,37.30%,9.00%,1.83%
UPLD,-43.10%,-28.30%,-25.60%,7.10%,4.49%,
USAT,81.80%,94.10%,66.70%,93.30%,25.00%,
VEEV,18.20%,11.10%,9.90%,18.00%,13.73%,43.19%
VMW,-2.00%,-9.90%,-6.70%,13.20%,8.80%,11.47%
VRNS,31.60%,20.00%,100.00%,,48.80%,
VRNT,-28.80%,-36.50%,-5.30%,-35.30%,14.00%,1.13%
VRTU,70.70%,145.00%,-3.70%,28.20%,14.00%,9.18%
WDAY,65.90%,-17.90%,-4.10%,23.50%,15.26%,122.86%
WK,133.30%,-66.70%,-333.30%,114.30%,,
XRX,42.90%,146.70%,44.00%,25.60%,-17.00%,-2.38%
YEXT,40.00%,28.60%,15.80%,93.80%,5.00%,
ZDGE,,,760.00%,27.30%,,
ZEN,20.00%,7.10%,36.50%,47.90%,75.00%,
ZM,390.00%,2.20%,11.40%,10.50%,17.05%,
ZNGA,50.00%,-10.00%,14.30%,20.00%,12.61%,74.64%
ZS,,80.00%,66.70%,52.50%,60.20%,
ALSK,,,,,-49.40%,-11.69%
AMT,37.60%,31.00%,41.70%,10.40%,17.31%,23.52%
CABO,-9.70%,,14.70%,16.50%,16.80%,20.89%
CBB,84.70%,57.10%,69.20%,60.00%,35.80%,-62.33%
CCI,42.10%,39.00%,58.00%,17.30%,19.60%,5.41%
CCOI,-10.00%,5.60%,553.80%,32.90%,108.15%,46.00%
CHTR,130.10%,26.70%,29.50%,39.90%,33.74%,-0.81%
CMCSA,-18.30%,-4.30%,8.80%,27.10%,14.39%,16.90%
CNSL,-78.30%,-90.50%,-80.80%,-20.00%,2.00%,-21.33%
DISH,515.40%,2.60%,-3.30%,-12.30%,-23.01%,1.99%
HCHC,69.70%,87.90%,-215.20%,71.20%,,
HMTV,108.30%,141.20%,"1,600.00%",20.60%,,8.84%
IDCC,,-80.60%,-38.90%,169.30%,15.00%,-24.20%
IDT,,,,,,10.25%
JCS,-50.00%,,-111.60%,287.50%,,-35.16%
LBTYA,-102.00%,157.00%,137.80%,31.40%,-54.58%,
OOMA,-27.30%,-53.80%,-38.80%,46.70%,47.70%,
OTEL,,,,,,96.78%
RBBN,100.00%,83.30%,16.30%,14.00%,12.00%,20.32%
SBAC,129.80%,135.00%,861.90%,56.90%,41.18%,23.92%
SHEN,274.10%,-37.90%,-62.80%,-58.50%,24.40%,4.57%
SPOK,,,,,,21.02%
T,-7.10%,-4.80%,-1.30%,2.90%,1.81%,8.93%
TMUS,-48.20%,600.00%,-2.60%,31.80%,38.46%,48.78%
USM,-21.00%,-34.60%,-28.20%,-1.10%,40.10%,-6.50%
VZ,1.60%,8.50%,3.50%,2.40%,3.22%,6.87%
WIFI,30.00%,53.80%,28.90%,-3.70%,386.10%,
ACN,17.40%,2.00%,7.00%,10.90%,10.01%,10.91%
FCN,-12.40%,17.40%,3.50%,19.70%,7.87%,43.72%
NAV,302.60%,259.50%,428.80%,49.80%,5.00%,35.87%
PCAR,30.10%,232.60%,53.70%,17.00%,22.56%,12.07%
WNC,100.00%,,420.00%,76.90%,15.00%,4.94%
ACY,,,,,,-18.20%
AL,-17.10%,-15.90%,4.60%,27.90%,9.70%,16.88%
ALLE,-1.90%,23.90%,-5.50%,8.90%,1.70%,14.33%
BCO,55.10%,31.00%,27.70%,16.30%,14.50%,27.72%
BRC,41.30%,26.40%,9.90%,12.20%,7.00%,15.17%
EXPO,-12.20%,29.00%,6.50%,11.50%,15.00%,17.85%
HRI,425.00%,192.00%,40.20%,34.10%,31.10%,
KTOS,-55.60%,-12.50%,9.10%,52.80%,2.00%,12.23%
MSA,-5.90%,8.10%,10.00%,13.10%,18.00%,18.25%
NSSC,-15.00%,,28.60%,75.00%,1.50%,37.62%
R,141.30%,213.70%,"1,763.00%",29.40%,-15.49%,-3.02%
RCII,65.70%,52.50%,50.40%,17.50%,5.00%,-1.55%
UHAL,-18.10%,77.90%,43.90%,3.90%,15.00%,-18.58%
URI,-11.00%,15.80%,6.20%,15.20%,8.60%,24.18%
ADM,59.40%,1.20%,7.50%,2.80%,4.30%,0.93%
ALCO,,,,133.00%,,12.60%
BG,210.40%,-61.10%,-23.90%,1.40%,-9.40%,-21.23%
BGS,21.70%,-19.70%,,3.50%,2.60%,3.03%
BRID,,,,,,-10.96%
BYND,-700.00%,-450.00%,25.00%,115.60%,-224.70%,
CAG,23.40%,-32.00%,14.50%,-1.10%,6.27%,-3.40%
CALM,-78.60%,-62.90%,-2.60%,221.60%,62.50%,-14.12%
CENT,9.00%,-31.10%,-8.40%,10.60%,7.50%,21.13%
CHD,-1.20%,-3.90%,7.40%,7.90%,8.71%,10.93%
CL,5.30%,9.50%,7.50%,6.70%,7.46%,0.22%
CLX,-22.20%,-32.40%,13.70%,-3.00%,5.07%,8.55%
COTY,112.50%,98.00%,140.00%,220.00%,-5.90%,-14.97%
CPB,-18.10%,-15.90%,,-0.30%,8.64%,-1.47%
CYAN,,,,,,24.21%
EL,50.60%,215.10%,43.30%,16.80%,21.10%,15.08%
FLO,-4.90%,-6.10%,-13.70%,6.20%,6.07%,1.02%
FRPT,110.00%,,587.50%,128.20%,81.30%,
HELE,-20.20%,-7.50%,24.80%,1.50%,11.40%,12.34%
HLF,31.30%,31.60%,25.10%,11.60%,-0.50%,1.26%
HRL,-2.40%,13.50%,4.80%,7.50%,3.70%,7.98%
HSY,10.40%,8.40%,6.70%,6.60%,7.60%,8.81%
INGR,1.30%,28.60%,5.90%,7.90%,1.90%,3.70%
IPAR,21.90%,220.00%,23.50%,24.50%,12.00%,21.91%
JJSF,-72.70%,292.50%,54.70%,85.40%,6.00%,8.32%
JVA,,,,,16.00%,-8.30%
K,-3.00%,-14.50%,0.50%,3.70%,2.93%,3.73%
KHC,1.70%,-15.00%,-11.10%,2.00%,-2.88%,1.42%
KMB,-8.90%,-6.40%,1.20%,4.20%,4.07%,3.89%
LANC,13.80%,,4.20%,10.50%,3.00%,6.78%
LW,-32.50%,"5,800.00%",-5.20%,30.40%,9.05%,16.87%
MDLZ,1.40%,3.20%,6.70%,7.70%,9.45%,8.25%
MGPI,-4.90%,5.60%,6.00%,10.20%,15.00%,4.51%
MKC,7.40%,-9.60%,4.20%,5.80%,5.50%,10.39%
NAII,,,,,,32.32%
NATR,,,,,,-29.52%
NHTC,,,,,,-31.28%
NWL,55.60%,36.70%,-8.40%,9.80%,2.03%,-1.33%
PG,1.70%,4.30%,10.90%,6.30%,9.13%,3.97%
POST,-13.80%,50.70%,35.40%,36.50%,31.20%,48.24%
PPC,150.00%,,81.40%,15.10%,24.10%,-14.15%
PURE,,,,,,
REV,10.70%,31.40%,-1.50%,8.70%,5.00%,4.99%
RMCF,,,,,,2.39%
SAFM,339.30%,79.10%,380.30%,40.00%,108.90%,-11.73%
SANW,,94.40%,9.80%,34.50%,15.00%,52.38%
SJM,-35.40%,-18.10%,1.40%,-3.00%,-0.42%,9.90%
THS,-5.40%,-10.30%,8.80%,6.70%,6.05%,-15.81%
TR,,,,,9.00%,19.36%
TSN,33.80%,-12.10%,-0.90%,12.00%,4.00%,16.46%
UG,,,,,,5.99%
USNA,20.30%,15.20%,6.50%,6.20%,15.00%,8.06%
YGYI,,,,,,
ADS,314.70%,62.90%,24.80%,14.70%,-5.89%,8.40%
CACC,257.50%,22.00%,13.50%,0.30%,20.03%,23.99%
ENVA,392.30%,-45.20%,-35.50%,34.00%,,19.44%
GDOT,-19.50%,16.30%,0.90%,23.00%,12.82%,30.98%
LC,-86.40%,13.30%,-27.50%,116.90%,-8.60%,-5.32%
MA,-14.20%,40.40%,25.50%,29.20%,14.91%,22.36%
NICK,,,,,5.00%,-36.90%
PYPL,53.00%,2.80%,17.50%,25.90%,22.24%,24.23%
SLM,38.00%,268.20%,4.00%,6.50%,20.00%,30.09%
TSSI,,,,,30.00%,
V,-8.00%,25.20%,9.30%,25.20%,13.84%,21.93%
WU,4.50%,22.00%,10.20%,11.20%,9.25%,2.99%
AE,,,843.50%,13.80%,,7.72%
CVX,-28.70%,182.40%,"2,800.00%",16.90%,-4.90%,13.40%
IMO,29.00%,642.90%,66.30%,-30.10%,18.10%,-18.40%
QEP,-128.60%,16.70%,,47.60%,71.89%,-22.48%
TUSK,44.40%,61.30%,54.50%,137.50%,,
XOM,1.90%,202.90%,969.70%,31.00%,10.59%,-3.91%
AEE,23.70%,1.00%,7.40%,7.20%,6.60%,8.24%
AEP,13.70%,6.50%,5.20%,7.10%,5.90%,6.58%
AES,17.20%,24.00%,8.30%,7.70%,7.30%,2.48%
ALE,-15.60%,38.50%,-4.80%,21.30%,7.00%,1.25%
ATO,3.60%,2.50%,7.00%,6.90%,7.00%,8.41%
AVA,15.30%,3.80%,10.00%,9.10%,6.00%,-5.94%
AWK,9.00%,11.30%,8.20%,8.50%,8.60%,8.74%
CMS,12.80%,,6.70%,7.40%,7.19%,7.18%
CNP,-24.60%,19.00%,-0.70%,4.30%,-5.88%,10.26%
D,-3.70%,4.90%,9.30%,6.50%,2.78%,3.37%
DTE,23.50%,-10.50%,-0.40%,1.00%,6.05%,7.07%
DUK,7.00%,1.90%,1.40%,5.00%,4.99%,0.38%
ED,2.20%,-15.00%,2.20%,6.30%,2.95%,1.62%
EIX,34.90%,7.00%,-0.40%,4.40%,-0.50%,0.95%
ES,7.80%,6.60%,6.60%,6.40%,7.05%,4.45%
ETR,0.90%,10.90%,4.40%,6.30%,5.15%,1.88%
EXC,-19.50%,-5.50%,-12.40%,8.20%,-0.34%,5.11%
GWRS,-150.00%,500.00%,120.00%,63.60%,15.00%,
IDA,10.80%,1.70%,1.90%,3.10%,2.60%,4.44%
LNT,-7.10%,-1.90%,5.80%,6.60%,5.70%,8.33%
MGEE,,3.80%,10.00%,16.10%,4.70%,2.50%
NEE,,6.20%,8.70%,8.40%,8.59%,11.17%
NI,5.30%,-15.40%,1.50%,5.20%,4.37%,-6.93%
NJR,0.90%,33.30%,-11.60%,23.50%,6.00%,50.73%
NWE,10.00%,4.70%,9.00%,5.70%,4.66%,3.94%
OGE,8.70%,3.90%,3.80%,1.90%,3.80%,9.96%
OGS,5.80%,6.30%,3.80%,8.10%,5.00%,15.32%
PCG,-69.70%,-72.80%,-24.20%,12.30%,2.50%,4.70%
PNW,-14.80%,-2.30%,1.80%,3.40%,3.50%,13.63%
PPL,4.50%,5.50%,3.30%,4.40%,-16.20%,1.54%
SJI,4.30%,300.00%,1.20%,1.80%,24.50%,13.27%
SO,5.10%,1.30%,2.20%,7.20%,6.49%,3.96%
SRE,-17.50%,-0.60%,0.40%,5.70%,8.50%,3.17%
SWX,48.10%,-32.40%,0.20%,3.10%,4.00%,6.39%
UTL,14.70%,-23.80%,13.00%,11.10%,4.80%,7.21%
WEC,2.80%,-2.60%,6.10%,6.50%,6.10%,6.98%
XEL,7.10%,-1.90%,6.50%,7.10%,6.30%,5.68%
ATR,-3.20%,23.70%,11.50%,11.80%,7.36%,9.11%
BERY,10.10%,-2.00%,12.40%,9.70%,10.87%,21.70%
BLL,9.80%,29.20%,15.80%,14.20%,13.60%,7.83%
CCK,22.10%,24.80%,15.50%,11.00%,11.92%,12.49%
IP,24.60%,7.80%,36.80%,11.00%,2.42%,11.27%
OI,-22.00%,"3,900.00%",32.80%,19.10%,15.33%,3.98%
PKG,0.70%,21.70%,18.30%,7.00%,5.97%,15.88%
SEE,-1.40%,5.30%,6.30%,8.00%,7.60%,1.83%
TUP,500.00%,-3.60%,33.90%,24.30%,12.00%,-1.32%
WRK,1.50%,28.90%,26.40%,20.90%,23.62%,-12.39%
AFI,,,,,47.60%,-46.55%
APOG,9.80%,253.30%,-1.70%,10.70%,15.00%,11.74%
ASPN,-53.80%,9.50%,4.80%,30.40%,,
AWI,-19.10%,33.30%,8.30%,17.30%,13.10%,20.32%
BLD,44.50%,38.10%,33.50%,17.30%,22.63%,42.26%
BLDR,97.10%,23.90%,-7.00%,10.00%,18.80%,63.28%
BXC,"2,262.50%",74.60%,-50.30%,32.90%,25.00%,-48.31%
EXP,-3.90%,21.70%,20.10%,13.90%,8.00%,9.96%
GFF,30.40%,-27.10%,4.90%,11.80%,20.41%,4.60%
JCI,14.30%,19.40%,14.30%,15.20%,14.14%,-0.26%
LPX,632.40%,337.20%,42.00%,-34.30%,5.00%,26.37%
MAS,43.50%,21.40%,8.00%,10.10%,10.25%,23.33%
MLM,31.70%,7.70%,-2.60%,14.50%,8.85%,21.11%
OC,138.30%,87.50%,25.10%,8.10%,8.60%,22.25%
PGTI,-35.70%,38.10%,20.60%,18.80%,3.50%,21.81%
ROCK,6.40%,13.10%,24.50%,18.80%,20.00%,42.33%
USCR,-425.00%,12.20%,3.80%,34.40%,14.00%,-10.66%
VMC,-4.30%,4.40%,7.50%,17.50%,13.65%,19.52%
AGCO,27.90%,109.00%,29.60%,12.70%,21.92%,11.39%
ALG,-6.20%,61.40%,35.90%,13.50%,6.60%,12.10%
CAT,17.50%,95.10%,24.40%,29.90%,-1.11%,26.48%
CMCO,-24.10%,614.30%,-55.00%,104.80%,20.00%,15.80%
DE,107.60%,60.70%,80.90%,15.90%,34.00%,11.83%
GENC,,,,,,-11.02%
LNN,68.60%,34.40%,0.30%,21.00%,22.90%,-18.71%
TWI,97.60%,162.50%,99.10%,"4,000.00%",25.00%,-27.89%
AGNC,10.50%,5.20%,-10.70%,-1.20%,-0.05%,-4.17%
AKR,-20.00%,-140.90%,-260.00%,11.10%,3.00%,-6.19%
ALX,,,,,,7.41%
AMH,-14.30%,,-7.10%,23.10%,61.27%,
ARE,342.90%,-63.20%,-59.00%,8.10%,0.10%,23.35%
AVB,-38.70%,-44.60%,-50.60%,7.60%,2.54%,2.38%
BFS,,,,,7.60%,-13.93%
BHR,-95.80%,62.40%,24.20%,66.90%,15.30%,57.91%
BRX,-40.00%,333.30%,29.30%,15.10%,-15.08%,21.11%
BXP,-82.50%,-62.00%,-56.40%,17.50%,7.00%,7.93%
CDR,75.00%,86.40%,75.00%,17.40%,11.00%,14.29%
CLDT,25.40%,73.70%,47.50%,125.90%,12.00%,-5.47%
CONE,-69.20%,-87.20%,-62.90%,130.80%,247.81%,-0.64%
COR,-8.30%,-11.50%,-4.60%,11.30%,0.50%,25.84%
CPLG,-127.00%,60.30%,12.40%,30.90%,-12.19%,
CPT,-27.90%,88.20%,3.20%,20.30%,3.60%,-2.39%
CUBE,20.00%,25.00%,15.30%,7.10%,6.00%,46.30%
CUZ,-83.90%,25.00%,-54.10%,-1.30%,,-10.38%
DRE,160.00%,54.50%,-21.30%,12.70%,6.00%,5.16%
EGP,1.70%,5.00%,-7.60%,10.20%,7.70%,8.72%
EPRT,-20.00%,9.10%,15.90%,3.90%,34.51%,
EQIX,22.50%,23.70%,83.70%,23.20%,28.95%,18.47%
EQR,-71.10%,-64.30%,-63.30%,12.20%,6.10%,-7.49%
ESS,-80.30%,-27.90%,-57.20%,16.90%,7.90%,19.56%
EXR,18.10%,26.20%,5.70%,6.10%,6.00%,21.56%
FCPT,3.70%,7.70%,5.60%,5.30%,,-22.33%
FRT,-74.30%,100.00%,-21.60%,31.50%,6.70%,5.78%
GEO,-44.10%,-37.10%,-23.30%,13.00%,15.00%,-1.07%
GLPI,25.00%,9.80%,-1.70%,3.50%,2.06%,6.99%
HST,,32.00%,-6.70%,102.70%,28.40%,17.28%
IHT,,,,,,
IIPR,33.30%,56.20%,46.80%,39.20%,,
JBGS,-168.80%,32.10%,-63.30%,13.80%,6.60%,
LAMR,-10.00%,129.00%,25.30%,17.90%,3.00%,8.37%
LSI,5.80%,17.30%,10.30%,6.40%,5.00%,4.53%
MAA,93.50%,-6.20%,10.00%,2.10%,7.00%,-10.85%
MAC,-620.00%,-33.30%,-50.00%,4.30%,0.21%,-24.86%
NNN,5.70%,58.30%,21.10%,8.10%,10.00%,6.76%
O,-36.40%,12.90%,18.40%,11.90%,5.45%,3.89%
OHI,15.40%,4.70%,157.10%,-0.60%,15.80%,-0.14%
OUT,"-1,175.00%",77.30%,57.10%,354.20%,10.00%,18.76%
PEB,-446.20%,38.70%,22.50%,67.50%,9.00%,23.24%
PGRE,-500.00%,-33.30%,-36.40%,33.30%,75.23%,-18.41%
PK,69.60%,35.50%,61.50%,92.80%,-24.20%,35.40%
PLD,-41.40%,-13.00%,-13.40%,13.80%,-6.05%,13.41%
PSA,-1.10%,30.50%,18.30%,5.80%,17.00%,6.41%
REXR,,-10.00%,-31.40%,2.90%,10.00%,94.21%
SAFE,-8.30%,37.50%,21.40%,23.20%,36.90%,
SHO,58.70%,60.00%,64.20%,98.70%,19.90%,18.01%
SLG,-110.60%,-125.00%,-112.70%,-40.30%,-10.84%,2.75%
SOHO,31.70%,61.70%,55.60%,93.90%,,-1.36%
SPG,-34.30%,19.30%,17.00%,6.70%,8.60%,8.25%
STOR,-11.50%,50.00%,10.80%,10.90%,6.09%,14.62%
SUI,217.60%,-30.00%,8.60%,26.10%,3.00%,2.60%
UDR,-200.00%,-100.00%,-105.00%,"1,100.00%",-34.21%,-11.80%
UNIT,107.30%,105.90%,112.40%,20.90%,34.00%,
VNO,-333.30%,100.00%,102.40%,675.00%,17.33%,-23.92%
VTR,-97.60%,111.60%,-78.60%,104.00%,-0.50%,0.92%
WELL,-70.70%,-50.00%,-73.80%,65.60%,13.00%,-5.49%
WRI,-80.50%,,-55.70%,20.50%,9.00%,-0.77%
AHC,,,,,,
GCI,85.20%,95.50%,91.40%,169.20%,,-11.70%
JW-A,-9.10%,-9.50%,12.50%,3.70%,2.60%,-4.98%
LEE,,,,,3.00%,6.90%
MDP,-28.60%,192.90%,185.10%,-8.70%,25.70%,1.67%
NYT,-17.60%,11.10%,-4.10%,32.30%,20.60%,15.21%
SCHL,40.00%,192.10%,147.20%,146.70%,9.10%,-21.77%
BBSI,-46.70%,-2.00%,-8.90%,21.80%,15.00%,14.20%
BGSF,7.10%,142.60%,650.00%,23.80%,20.00%,23.90%
DHX,,-25.00%,,43.80%,15.10%,-20.47%
HSII,20.50%,48.60%,25.40%,11.70%,10.00%,49.60%
KFY,63.30%,431.60%,-21.00%,38.30%,15.00%,14.40%
MAN,-17.10%,516.70%,50.40%,35.30%,3.00%,10.63%
MHH,21.70%,-6.10%,11.20%,19.40%,18.00%,
RHI,,92.70%,24.10%,17.00%,2.70%,10.01%
TBI,-400.00%,133.30%,132.60%,39.00%,10.00%,6.46%
AIT,-2.90%,30.00%,2.60%,14.60%,12.00%,13.84%
DXPE,-51.60%,66.70%,32.90%,124.80%,20.00%,-1.39%
FAST,5.70%,-2.40%,4.70%,10.30%,8.04%,11.86%
GWW,1.90%,23.70%,14.70%,14.00%,12.65%,9.38%
MSM,3.00%,,-0.40%,8.50%,6.36%,8.98%
SITE,-29.40%,13.80%,4.00%,15.80%,10.30%,
SLGN,24.60%,3.50%,10.50%,3.30%,5.47%,10.97%
SON,-8.50%,11.40%,3.80%,5.40%,5.00%,8.30%
TITN,6.70%,24.10%,7.10%,25.90%,25.00%,-40.18%
WCC,-8.80%,20.60%,36.20%,30.60%,10.00%,2.42%
AJG,,7.40%,3.60%,3.50%,9.55%,10.69%
AMRK,14.30%,-53.80%,67.70%,-41.50%,,-40.45%
AON,9.80%,10.70%,11.60%,11.60%,10.63%,7.91%
BGCP,-5.30%,6.70%,15.50%,13.40%,12.50%,4.24%
BRO,9.80%,14.70%,8.40%,8.80%,10.27%,12.70%
CME,-28.80%,1.80%,,8.30%,4.60%,16.61%
FDS,7.50%,-2.80%,2.80%,5.60%,6.00%,15.00%
HLI,13.50%,66.10%,31.20%,-7.60%,8.70%,22.71%
ICE,-3.10%,14.00%,9.30%,7.30%,10.73%,14.58%
LAZ,50.00%,31.30%,7.50%,11.10%,7.15%,1.37%
LPLA,-17.00%,24.60%,7.00%,23.40%,8.16%,30.97%
MCO,-5.90%,-5.30%,4.00%,11.40%,9.94%,16.76%
MKTX,10.20%,-2.30%,6.80%,11.20%,10.47%,21.77%
MORN,,,,,16.00%,10.16%
MSCI,16.80%,27.10%,18.00%,13.10%,14.37%,29.79%
NDAQ,6.70%,1.90%,2.60%,8.00%,6.46%,11.77%
PJT,31.00%,3.00%,-5.90%,9.90%,24.40%,12.41%
AKER,,,,,,
BAX,-22.00%,21.90%,10.00%,17.10%,9.00%,-4.79%
BDX,19.20%,16.80%,25.90%,4.30%,12.00%,13.57%
BLFS,-200.00%,-100.00%,-54.80%,-52.60%,10.00%,
BMRA,11.10%,-175.00%,-82.60%,9.50%,,24.07%
CFMS,50.00%,-66.70%,38.20%,19.00%,-14.58%,
COO,101.30%,43.00%,35.30%,10.70%,10.00%,13.11%
HOLX,350.90%,142.70%,120.60%,-43.30%,10.47%,9.15%
HRC,11.70%,-30.30%,5.20%,10.00%,7.60%,18.86%
ICUI,-17.10%,-1.20%,-3.80%,14.90%,16.00%,33.69%
ILMN,-25.00%,93.50%,18.40%,24.80%,19.80%,18.39%
INFU,,-52.60%,-46.20%,34.90%,20.00%,-32.03%
LAKE,340.00%,-54.20%,882.90%,-57.30%,10.00%,-22.16%
MTD,40.30%,23.80%,15.60%,10.30%,13.80%,14.29%
NEPH,7.70%,47.40%,34.60%,70.60%,,
NVCR,-50.00%,100.00%,-5.60%,170.60%,60.00%,
PDEX,-26.70%,-40.60%,-33.30%,,,23.96%
PODD,333.30%,,880.00%,75.50%,111.30%,
REMI,,,,,,
RMD,,1.50%,10.10%,6.50%,22.10%,10.42%
SILK,-21.90%,-18.80%,3.50%,30.90%,100.70%,
STAA,,200.00%,8.30%,423.10%,30.00%,-45.57%
STE,9.10%,19.10%,11.00%,11.50%,10.00%,12.83%
UTMD,,,,,,22.01%
WAT,35.70%,,6.10%,10.70%,7.17%,9.11%
XRAY,30.20%,450.00%,52.00%,13.20%,22.72%,-4.16%
CMC,-6.80%,-40.50%,-21.60%,5.80%,-11.18%,9.36%
FRD,,,,,,-16.83%
NUE,208.10%,659.50%,149.20%,-50.90%,7.65%,34.60%
RS,45.30%,110.30%,30.70%,-3.60%,9.58%,19.52%
STLD,118.20%,319.10%,110.60%,-43.00%,3.88%,42.95%
USAP,-300.00%,-25.90%,3.60%,96.30%,3.15%,11.77%
WOR,95.30%,171.40%,78.70%,-18.60%,41.50%,6.39%
X,224.70%,164.80%,177.70%,-84.80%,8.00%,-13.05%
ZEUS,"1,320.00%",108.60%,689.30%,-45.50%,34.29%,20.60%
ALB,-21.00%,-5.80%,-15.30%,41.50%,15.00%,9.31%
APD,4.40%,14.90%,8.20%,15.10%,9.01%,4.80%
AXTA,35.50%,406.70%,43.60%,11.50%,7.85%,12.57%
BCPC,6.20%,3.50%,8.10%,9.70%,24.00%,6.94%
CC,-8.50%,300.00%,38.90%,23.30%,9.70%,61.27%
CE,18.30%,97.70%,32.60%,8.60%,15.12%,15.31%
DD,-9.50%,24.30%,1.50%,16.40%,-8.99%,
DOW,74.60%,534.60%,133.10%,-2.80%,-5.43%,
ECL,-14.00%,93.80%,28.60%,18.80%,17.07%,6.55%
EMN,0.50%,127.10%,26.80%,7.60%,3.83%,1.98%
FF,,,,,10.00%,-1.84%
FMC,-16.80%,5.80%,14.70%,13.10%,9.00%,18.42%
FOE,-15.40%,108.30%,22.20%,14.10%,15.40%,16.70%
FTK,35.70%,27.30%,,62.10%,10.00%,-45.80%
FUL,38.20%,33.80%,16.90%,15.70%,12.31%,8.80%
GPRE,3.30%,-16.70%,71.20%,226.80%,15.00%,-53.25%
GRA,9.90%,95.90%,43.60%,16.10%,21.73%,-0.96%
HUN,96.60%,500.00%,120.40%,14.80%,11.39%,8.53%
IFF,-5.60%,13.20%,3.20%,10.40%,10.00%,4.94%
KRA,11.10%,73.30%,46.50%,32.80%,-13.00%,34.74%
KRO,-4.30%,68.80%,40.00%,18.20%,25.72%,21.69%
KWR,5.80%,661.90%,49.00%,16.30%,25.36%,8.63%
LIN,18.50%,19.50%,13.20%,10.80%,11.71%,2.50%
LYB,72.80%,354.90%,93.40%,-0.30%,-4.07%,0.88%
NEU,,,,,7.70%,3.33%
NGVT,-8.00%,106.30%,4.10%,12.60%,3.10%,38.49%
OLN,346.20%,236.70%,336.00%,-0.40%,2.30%,6.37%
PPG,29.40%,106.10%,28.90%,12.10%,10.71%,3.27%
RPM,30.40%,25.70%,38.10%,9.70%,15.45%,3.63%
RYAM,174.40%,150.00%,"2,700.00%",-132.10%,-174.50%,-10.50%
SHW,19.90%,11.80%,10.00%,10.10%,9.96%,21.99%
SXT,2.80%,10.00%,7.90%,12.60%,3.80%,2.30%
TROX,-10.30%,"1,300.00%",148.20%,37.40%,48.90%,
TSE,569.20%,146.40%,173.70%,2.00%,5.95%,25.85%
WLK,103.10%,"1,609.10%",138.80%,-2.40%,29.63%,1.18%
CLNE,-100.00%,100.00%,120.00%,-200.00%,15.00%,
DK,37.90%,75.30%,73.50%,127.80%,-16.40%,20.07%
HFC,-167.90%,172.00%,131.00%,"1,007.40%",-10.70%,25.57%
INT,-59.70%,161.50%,54.80%,57.90%,5.00%,-4.20%
MPC,-243.80%,95.50%,89.00%,826.30%,-6.76%,4.24%
PBF,-75.60%,62.70%,59.80%,97.30%,0.79%,-1.91%
PSX,-117.60%,227.00%,459.60%,99.40%,-7.75%,8.12%
VLO,-311.80%,139.20%,143.90%,297.80%,-13.00%,-8.67%
AMC,94.00%,83.50%,92.30%,70.70%,-217.00%,6.01%
AMCX,29.90%,-2.90%,-2.30%,2.50%,-12.20%,20.27%
ATUS,,115.80%,117.30%,36.80%,57.70%,
BBGI,37.50%,101.60%,133.30%,90.50%,-22.90%,13.62%
CIDM,12.50%,71.40%,,57.10%,10.00%,
CNK,-186.30%,22.10%,43.00%,122.40%,4.00%,0.16%
DIS,-53.30%,825.00%,1.00%,138.20%,48.53%,5.22%
DISCA,-21.80%,18.20%,-10.00%,14.20%,6.75%,17.30%
DLB,-35.60%,-33.70%,13.50%,12.80%,16.00%,9.59%
